n_trades,total_return,cagr,sharpe,sortino,max_drawdown,hit_rate,expectancy,avg_win,avg_loss,equity_final,split,seed,algorithm,asset
841,0.09143341734559596,0.005257041660241546,0.40368272674618044,1.0575019531256922,-0.040017083146720055,0.45659928656361476,0.00010576478632573147,0.0017944521733884798,-0.0013131760378145205,1.091433417345596,0,7,ppo,GC=F
725,0.02302551551491616,0.0015837731176471248,0.1257864617682259,0.3294648285522301,-0.03266719350648573,0.44413793103448274,3.314540687627877e-05,0.0017785130203603781,-0.0013614163091085346,1.0230255155149162,0,13,ppo,GC=F
828,0.07075569571686757,0.004169997283436144,0.3243442411927057,0.8490886630596078,-0.042532243415960486,0.4492753623188406,8.426670416963705e-05,0.0017858519645142011,-0.0013038686397956647,1.0707556957168676,0,29,ppo,GC=F
820,0.17679333484525217,0.010056053249060781,0.753495345973961,2.063666382277776,-0.029717218572462577,0.4719512195121951,0.00020032538905288738,0.0018811122411678152,-0.001301902120805027,1.1767933348452522,0,7,grpo,GC=F
518,0.0648456996327802,0.006131903632280888,0.45445482695863026,1.1770128588744284,-0.029326008588735533,0.4517374517374517,0.0001231455116014475,0.0018701581862329225,-0.0013162945090456125,1.0648456996327802,0,13,grpo,GC=F
826,0.046744220947553705,0.0027914240063506846,0.2218580250347855,0.5628603236685135,-0.03166368029781751,0.44794188861985473,5.6967809501394565e-05,0.0017420212486440477,-0.0013102904634871614,1.0467442209475537,0,29,grpo,GC=F
1166,0.055810623776146207,0.002350240615089705,0.1808145077197912,0.47553038704484235,-0.049200876820229465,0.4571183533447684,4.8379119602012985e-05,0.0017979953062542573,-0.0014248364056517722,1.0558106237761462,1,7,ppo,GC=F
1254,0.1879203766378672,0.006945131908520308,0.5098664346577546,1.4647362678576716,-0.029774082023062663,0.46012759170653905,0.00013920872467475677,0.0019351587486514583,-0.001391460645834189,1.1879203766378672,1,13,ppo,GC=F
1221,0.2754774757905396,0.01009430765939423,0.7309086526867614,1.858106012819384,-0.030510475842381868,0.4881244881244881,0.0002012061183632067,0.0018769468635811087,-0.0013967802562765844,1.2754774757905396,1,29,ppo,GC=F
1268,0.2257294791242177,0.008122893935519793,0.5915674522109055,1.7032452728204635,-0.03387270027380587,0.472397476340694,0.00016242691917869338,0.0019169928959945238,-0.0014085521841287532,1.2257294791242177,1,7,grpo,GC=F
1257,0.11720616611653112,0.00445371193119648,0.3329665776614463,0.8966801896799212,-0.05461994546315354,0.45823389021479716,9.001325286856469e-05,0.0018138503339305764,-0.0013680339698799206,1.1172061661165311,1,13,grpo,GC=F
1280,0.21702298856244617,0.007763534480433876,0.57694099624269,1.5399412351852269,-0.04684508384331582,0.465625,0.00015527770598361935,0.00188912267210199,-0.001355499486716013,1.2170229885624462,1,29,grpo,GC=F
