info,model,exec,algo,split,seed,n,mean_bps,sr,t_nw,hit,long_frac,psr0
causal,0,engine,ppo,0,7,103,-0.401637282407416,-0.01115603036462691,-0.12822335335446244,0.42718446601941745,0.1941747572815534,0.45530654298617457
causal,0,next,ppo,0,7,103,-7.992705931041794,-0.13468633900073723,-1.5639057455241472,0.42718446601941745,0.1941747572815534,0.09254002410835332
causal,0,bracket,ppo,0,7,103,-6.444724256979922,-0.161607470429815,-2.134165028569673,0.3300970873786408,0.1941747572815534,0.06424543518915893
causal,1,engine,ppo,0,13,638,1.7737195716239427,0.04564683951898372,1.129849132341997,0.4498432601880878,0.9028213166144201,0.8784776102209966
causal,1,next,ppo,0,13,638,-2.277174778213483,-0.04012371683005824,-1.0385671726121835,0.445141065830721,0.9028213166144201,0.15688073832356525
causal,1,bracket,ppo,0,13,638,-2.5175379949012786,-0.058623899355409424,-1.3947809371210809,0.384012539184953,0.9028213166144201,0.07484503439669227
causal,2,engine,ppo,0,29,260,0.4605409136891186,0.012088004334206603,0.19540594279216258,0.43846153846153846,0.4153846153846154,0.5773910939051903
causal,2,next,ppo,0,29,260,-3.3814525255382244,-0.058524045871976606,-0.9736172292019826,0.4307692307692308,0.4153846153846154,0.17632311732434497
causal,2,bracket,ppo,0,29,260,-4.005550914279235,-0.09019276919066657,-1.46781389146816,0.36923076923076925,0.4153846153846154,0.07645800122379008
causal,3,engine,grpo,0,7,628,3.8749010083243918,0.1002709545942092,2.3366768169572154,0.47770700636942676,0.2611464968152866,0.9950242535451389
causal,3,next,grpo,0,7,628,0.9528561026698384,0.01693813119194726,0.4014124140119299,0.4840764331210191,0.2611464968152866,0.6648024331827785
causal,3,bracket,grpo,0,7,628,-0.38251210623144327,-0.008873526506832603,-0.1914364796896922,0.3980891719745223,0.2611464968152866,0.41239462534785015
causal,4,engine,grpo,0,13,650,2.0794728507934517,0.05428400978362077,1.2484932576795813,0.4584615384615385,0.27384615384615385,0.9202159766871241
causal,4,next,grpo,0,13,650,-1.5936903354993004,-0.028496102769995497,-0.673050133692198,0.4584615384615385,0.27384615384615385,0.23499392597903768
causal,4,bracket,grpo,0,13,650,-1.9468394570161358,-0.04558494453701088,-1.015429227217373,0.37538461538461537,0.27384615384615385,0.12783253495698915
causal,5,engine,grpo,0,29,640,1.5534877434048677,0.040579967552279966,0.9800596678001176,0.453125,0.971875,0.8502773581796792
causal,5,next,grpo,0,29,640,-2.5414299039105477,-0.04536958458791322,-1.1235364773945895,0.4453125,0.971875,0.1269401895717408
causal,5,bracket,grpo,0,29,640,-3.932755951533798,-0.0936019129367562,-2.2306808783884016,0.365625,0.971875,0.011804189436997415
causal,6,engine,ppo,1,7,235,-0.11482970746394443,-0.0028521310309876893,-0.044128889149924126,0.4297872340425532,0.6510638297872341,0.4826173666322418
causal,6,next,ppo,1,7,235,-4.496114244238952,-0.07378667929138856,-1.1616744057700035,0.425531914893617,0.6510638297872341,0.13678424445781467
causal,6,bracket,ppo,1,7,235,-5.500658091765214,-0.12712612577391438,-1.6137586350182047,0.3659574468085106,0.6510638297872341,0.032997129069962564
causal,7,engine,ppo,1,13,446,1.5078513433651501,0.03888132480613443,0.7955542420584303,0.4551569506726457,0.726457399103139,0.7961966785722535
causal,7,next,ppo,1,13,446,-3.1222762485885585,-0.05464925095699427,-1.133450577288241,0.45067264573991034,0.726457399103139,0.12645709233653474
causal,7,bracket,ppo,1,13,446,-4.190763956169944,-0.09752454930531058,-2.0050647472851573,0.3834080717488789,0.726457399103139,0.02208372964862152
causal,8,engine,ppo,1,29,524,3.3825591126293446,0.08253019316343245,2.0195448603492685,0.45610687022900764,0.7862595419847328,0.9733817811053044
causal,8,next,ppo,1,29,524,-1.000881165897952,-0.01667989571725064,-0.41162673199527117,0.45610687022900764,0.7862595419847328,0.3517722510407329
causal,8,bracket,ppo,1,29,524,-2.356210996665784,-0.0531715659577023,-1.218069663731145,0.37404580152671757,0.7862595419847328,0.11781762996789191
causal,9,engine,grpo,1,7,630,1.813274841395751,0.046824669025558444,1.1937242295137,0.45555555555555555,0.9968253968253968,0.8830068476058901
causal,9,next,grpo,1,7,630,-2.495599361401942,-0.043771364424594825,-1.1279318004057215,0.44603174603174606,0.9968253968253968,0.1373179996118023
causal,9,bracket,grpo,1,7,630,-2.568479991959594,-0.06025779441532442,-1.4829355573415888,0.3825396825396825,0.9968253968253968,0.07070647268759432
causal,10,engine,grpo,1,13,602,2.1018833421631076,0.054686300087393266,1.3681664339850095,0.45348837209302323,0.9966777408637874,0.9132887783840018
