ccy,date,value
HUF,2008-10-09,0.0051519833516475485
HUF,2008-10-10,0.005165022451565107
CZK,2008-10-23,0.051921079341443827
ILS,2011-03-01,0.30487805143982655
CLP,2005-09-01,0.0019455252918287938
CLP,2006-03-30,0.0019862551483184267
CLP,2006-04-05,0.002013368798313509
CLP,2006-04-20,0.0020436523850074447
CLP,2006-12-19,0.0018912529550827422
CLP,2007-01-16,0.0018441678192715537
CLP,2007-01-29,0.001835872916448397
CLP,2014-04-10,0.18315018187058152
CLP,2016-12-22,0.2
