H,signal,split,start,weeks,ann_ret,ann_vol,sharpe,t_nw,alpha_dol_ann,alpha_dol_t,beta_dol,alpha_dol_carry_t,beta_carry,cost_ann,turnover_ann,fm_spread_ann,fm_t,psr0,sharpe_cost0.5x,sharpe_cost2.0x,coin_sd,dsr,p_vs_coin,sr_star_ann,PASS
1,carry,dev,2004-01-07,626.0,0.01157493566172983,0.07741989082368878,0.14950855056215287,0.5107345674669974,0.01064663999154026,0.5343666155587846,0.3979088405385096,,,0.00044879304224352146,1.8413205537806174,0.016756995928801255,0.5300515459306397,0.6963004830616321,0.15242260404645278,0.14368136064316314,,0.02077077856358186,0.002,0.7425740635585422,
1,carry,holdout,2016-01-06,534.0,0.0501159064244649,0.06672734650562002,0.7510549879312817,2.4950052253707833,0.0504974420766694,2.6858881514556687,0.3164040738441195,,,0.00035975863503953393,1.50936329588015,0.07126993833700673,2.4679663850766413,0.990243731218353,0.7538013006149386,0.7455581555706794,,0.15874348739079308,0.0,1.0725072375293387,False
1,mom12,dev,2004-04-07,613.0,-0.012088535407524612,0.07118603515318557,-0.16981610763278543,-0.6168413646568499,-0.012163722765111013,-0.6199664364750598,0.019683409301501944,-0.6526014217404459,0.09442494049460173,0.005757984411818017,24.52963567156063,-0.009952315878457504,-0.35584984709044265,0.2790662809843285,-0.12940313089697106,-0.25057781109869215,,0.0008264308956595736,0.048,0.7425740635585422,
1,mom12,holdout,2016-01-06,534.0,-0.013745607424936872,0.06069998992100317,-0.22645156025274182,-0.8272622301996129,-0.01386152120738835,-0.8431693234526156,-0.09612625391735934,-1.1466802164068823,0.09443982135683053,0.0061453807740324586,25.642946317103625,-0.010729731742453279,-0.4489504623838738,0.23309964742405265,-0.17584470367435084,-0.32762847058355865,,1.4588532687370964e-05,0.036,1.0725072375293387,False
1,mom3,dev,2004-01-07,626.0,-0.03847297771706981,0.07055283646336974,-0.5453073135768901,-2.2495360397875013,-0.03825287422861515,-2.2307616064060745,-0.09434615144934126,-2.1601034622961097,-0.0586845038044129,0.010419843805466808,43.54561590344338,-0.04003939494950327,-1.6218795982766425,0.026557595398866544,-0.4713492678203894,-0.6932891723715461,,2.4668032999200697e-06,0.388,0.7425740635585422,
1,mom3,holdout,2016-01-06,534.0,-0.051137971452737394,0.05942182558706309,-0.860592399299674,-2.994561983617444,-0.051220885450568396,-2.9767657080412024,-0.06875983028283054,-3.23080180666163,0.07147819335633271,0.010937473990844777,45.18893050353724,-0.0567536434756131,-2.388915676096024,0.002305433969387967,-0.7686309985857446,-1.0443592060421336,,9.848837373525293e-11,0.648,1.0725072375293387,False
1,mom1,dev,2004-01-07,626.0,-0.05191048518380709,0.07111583820605959,-0.7299426751238648,-2.9064831119772365,-0.05160007505510462,-2.9159301886979074,-0.13305559679943407,-2.829935997836936,-0.13982438068903127,0.017473855165069222,72.66063187788427,-0.048539687534011125,-1.8750042828405884,0.005419205899124961,-0.6070654627580718,-0.9755881333459826,,1.374996281103514e-07,0.61,0.7425740635585422,
1,mom1,holdout,2016-01-06,534.0,-0.05091474354408953,0.056465409309131534,-0.9016979451144373,-3.289062070760004,-0.05099958266698074,-3.3167454471025795,-0.07035631912518785,-3.174473558695983,0.002283460162784285,0.01764791926758219,73.53682896379523,-0.0469649283903633,-2.1442415150649357,0.0027377086853303057,-0.745107325507231,-1.2150254752711704,,5.954494757511786e-10,0.684,1.0725072375293387,False
1,rev1w,dev,2004-01-07,626.0,-0.004754369617313887,0.07214859830569874,-0.06589690900395992,-0.25934302416892363,-0.004994949594093809,-0.2735220656942847,0.10312328570673053,-0.2896900558400115,0.033259508837750675,0.033273216187433445,139.28966986155487,0.04045486453810711,1.5144532368493988,0.4098058257440004,0.16467414752476045,-0.5270852666327164,,0.0025724795188929008,0.02,0.7425740635585422,
1,rev1w,holdout,2016-01-06,534.0,-0.014774288374807229,0.06327704203079176,-0.23348576198643717,-0.7837639493510878,-0.014703318873331752,-0.7762568618302573,0.05885436722828336,-1.0094206340998568,0.09667288939952723,0.03420060341240116,139.64585934248854,0.027425385935426733,1.0041243409988396,0.22719074703296271,0.03674739200606622,-0.7742834067029983,,1.4281125105144085e-05,0.036,1.0725072375293387,False
1,value,dev,2008-05-28,397.0,0.041785636989108324,0.06484217810041736,0.6444206257907824,1.9931391823667222,0.04768056068863863,2.328013118957599,0.22549769812208909,2.364245422910637,0.4306952620442752,0.003113741953540442,13.513014273719563,0.06328861831336859,2.1624338605758022,0.9634306760447596,0.6684706240147151,0.596317011937426,,0.39245007845253915,0.0,0.7425740635585422,
1,value,holdout,2016-01-06,534.0,0.017768078303354896,0.05803166876759841,0.30617899985801517,1.016066362611622,0.01823226097663177,1.2628690063713026,0.38494250270995345,-0.23006198274245737,0.4191522950065776,0.002959217644610903,12.848522679983354,0.02926206486771643,1.1741754072299335,0.8349580182124856,0.33165176001068014,0.2552182966220956,,0.007391263391172085,0.0,1.0725072375293387,False
1,combo,dev,2008-05-28,397.0,-0.013065212382727922,0.07282375146633335,-0.17940866983168274,-0.4985044279604746,-0.005769657680675814,-0.24963017594019557,0.27907584146807696,-0.9355150343404455,0.7797879267725922,0.003827595857822558,17.56619087601455,-0.012633459414034206,-0.34657901969087784,0.30760024835066746,-0.15313669318127981,-0.2319403099372382,,0.004894499971796699,0.054,0.7425740635585422,
1,combo,holdout,2016-01-06,534.0,0.04023283716274999,0.06321852228755336,0.6364090096846686,2.0977212279019564,0.040640451704718264,2.3207203847926845,0.33803106182001397,0.24490159800739233,0.7628843363161258,0.0037682688306283803,17.84186433624636,0.06211920846124004,2.263370211361472,0.9761753727145557,0.6662195466637766,0.576777762072228,,0.08737108384030251,0.0,1.0725072375293387,False
1,ridge,dev,2008-05-28,397.0,0.020284641677924767,0.06800229576346849,0.298293483332983,1.0195170777327012,0.024817608915444787,1.2992104270711633,0.1733989666066503,1.2459447047417609,0.08712434379871227,0.0145215785054576,61.496221662468514,0.04918280103832341,1.6628027114514143,0.7985069457139323,0.4051507421085201,0.08470584063271396,,0.10645716705466413,0.0,0.7425740635585422,
1,ridge,holdout,2016-01-06,534.0,0.016100748678831166,0.05666880734035547,0.28412012594740754,1.0316362152008631,0.01636679775319999,1.1081915491107925,0.220632096860092,1.006978092333099,0.022214419977995458,0.01519615064502705,61.08322929671244,0.04418385786897631,1.9574276338643248,0.8190709483589453,0.4182456926547252,0.015957063234221785,,0.005700193917480983,0.0,1.0725072375293387,False
1,coin,dev,,,,,-0.6437588212194755,,,,,,,,,,,,,,0.29252811207289464,,,,
1,DOL (long all vs USD),dev,,,0.002332935525969359,,0.02725271313797901,0.09001273621844562,,,,,,,,,,,,,,,,,
1,coin,holdout,,,,,-0.7587257820895212,,,,,,,,,,,,,,0.3055703168774989,,,,
1,DOL (long all vs USD),holdout,,,-0.0012058493671368612,,-0.016722235491532206,-0.054235990963295115,,,,,,,,,,,,,,,,,
4,carry,dev,2004-01-07,626.0,0.01192644631284156,0.076977258240852,0.15493467272535524,0.5192837483782062,0.011004831820130971,0.5538025165163327,0.39504499050724573,,,0.0004359868654597088,1.7951721689740858,0.016756995928801255,0.5300515459306397,0.7028373868583104,0.15776747806331465,0.14926899321393894,,0.02169296450338723,0.038,0.7425740635585422,
4,carry,holdout,2016-01-06,534.0,0.05083818590919304,0.06668367185593543,0.7623783228227855,2.5990279330558996,0.05121988996615056,2.812935989955587,0.3165437303863451,,,0.00035975863503953393,1.5093632958801497,0.07126993833700673,2.4679663850766413,0.9911003010293099,0.7650758720159222,0.756982111072913,,0.16752298845918767,0.0,1.0725072375293387,False
4,mom12,dev,2004-04-07,613.0,-0.0014330521754828596,0.07047909556552565,-0.020333010291690337,-0.07847637250339942,-0.0015686077668603897,-0.08563105705535232,0.03548729831508599,-0.1356325279268379,0.13973855209476319,0.0026134312126155517,11.087819467101685,-0.009952315878457504,-0.35584984709044265,0.47217323316165505,-0.0017924934659552844,-0.05741667009277762,,0.004406298732835778,0.14,0.7425740635585422,
4,mom12,holdout,2016-01-06,534.0,-0.007880094662824307,0.05951498505294858,-0.13240521955627876,-0.4735227490472004,-0.0080007336165799,-0.4906438093706832,-0.10004479584545842,-0.8459428890167559,0.10981989024985783,0.002770547232625884,11.512276321265087,-0.010729731742453279,-0.4489504623838738,0.33542987298320687,-0.10913461418400247,-0.1789383098113203,,5.502528770417907e-05,0.208,1.0725072375293387,False
4,mom3,dev,2004-01-07,626.0,-0.0170318327857967,0.06483664885261577,-0.2626883573904755,-1.066500913861448,-0.016904986548300263,-1.0604368850724275,-0.05437194302389354,-1.037804844034628,-0.010518826397647904,0.004862020766773162,20.45642527511537,-0.04003939494950327,-1.6218795982766425,0.17928678529922187,-0.22517101712761067,-0.3377427409998842,,0.00022124157653992767,0.428,0.7425740635585422,
4,mom3,holdout,2016-01-06,534.0,-0.03567519193193329,0.054547841080832694,-0.6540165701345975,-2.2317650667881996,-0.03574976538612873,-2.214532932432599,-0.061843092701109305,-2.6386262896570654,0.08881667980692164,0.004951414898044112,20.3953391593841,-0.0567536434756131,-2.388915676096024,0.017323479138921353,-0.6086967787546637,-0.7446148819031134,,1.2260577089001559e-08,0.836,1.0725072375293387,False
4,mom1,dev,2004-01-07,626.0,-0.03635686441447615,0.05309841430656685,-0.6847071591360079,-2.6729436992864493,-0.03612601836196516,-2.762054536078365,-0.09895089253058789,-2.678213629847385,-0.09851926338938317,0.008476535321263756,35.333510827121046,-0.048539687534011125,-1.8750042828405884,0.009420060307647606,-0.6047315472811812,-0.8447653942356407,,4.893995761125592e-07,0.902,0.7425740635585422,
4,mom1,holdout,2016-01-06,534.0,-0.03872074678349875,0.04470875225946439,-0.8660663701546705,-2.8075430440582556,-0.03874987627757907,-2.8028727272632477,-0.024156826610534806,-2.9985574850818844,0.04682681746681776,0.008626836246358719,35.0440074906367,-0.0469649283903633,-2.1442415150649357,0.0027550980832755346,-0.7696666874573772,-1.0587724432411227,,2.6027254177545423e-10,0.966,1.0725072375293387,False
