hypothesis,weeks,n_ccy_median,ann_ret,sharpe,t_nw,alpha_dol_t,fm_spread_ann,fm_t,sharpe_cost0.5x,sharpe_cost2.0x,CONFIRMED
rev1m-1,731,10.0,-0.0992795009262127,-1.0718947798646852,-4.097152152390377,-4.055579497401371,-0.10295509234477734,-3.0843529348847083,-0.9452969874086085,-1.3248530199751334,False
rev1m-4,731,10.0,-0.07447414452935634,-0.9323580646470983,-3.661802446183316,-3.6540947502300685,-0.10295509234477734,-3.0843529348847083,-0.8611025209510947,-1.0747830979807198,False
carry-4,731,10.0,0.047315523086084665,0.6311913626224314,2.3680102109325434,2.2994744675611085,0.06700332769925423,2.4744709834505922,0.6370877766973028,0.6193975605050249,True
